,input,yields
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,6 slices toasted rye bread,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,6 small zucchini,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,2 teaspoons salt,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,2 cups packed fresh basil leaves,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,1 pound farfalle,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,1/4 cup extra-virgin olive oil,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,3 tablespoons unsalted butter,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bow-tie-pasta-with-zucchini-101932,1/2 cup finely grated fresh Parmigiano-Reggiano plus additional for serving,4 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,"1 1/2 pounds carrots, peeled, halved lengthwise, cut into 4"" pieces",8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,"1 1/2 pounds parsnips, peeled, cut into 4"" pieces",8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,2 tablespoons olive oil,8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,"Kosher salt, freshly ground pepper",8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,"1/4 medium onion, finely chopped",8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,"4 tablespoons unsalted butter, cut into pieces",8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,1/4 cup bourbon,8 serving(s)
http://www.epicurious.com/recipes/food/views/-burnt-carrots-and-parsnips-56390131,3 tablespoons dark brown sugar,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1 1/2 cups long-grain rice,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1/4 cup plus 3 tablespoons rice vinegar* (not seasoned),8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1/4 cup sugar,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1 1/2 teaspoons salt,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1 tablespoon sesame seeds (preferably unhulled*),8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,3 tablespoons vegetable oil,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,2 tablespoons finely chopped pickled ginger*,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,"4 scallions, cut lengthwise into thin 1-inch strips (about 3/4 cup)",8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1/2 cup finely shredded carrot,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,"1 large seedless cucumber (about 1 pound), quartered lengthwise, cored, and",8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,2 sheets nori (paper-thin sheets of dried seaweed)*,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1 avocado (preferably California),8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,"1/4 pound surimi (mock crab legs) if desired, sliced thin",8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,2 teaspoons wasabi (Japanese green horseradish) powder*,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,1 tablespoon hot water,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,2 tablespoons cold water,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,2 tablespoons soy sauce,8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,2 teaspoons ginger juice (squeezed from freshly grated gingerroot),8 serving(s)
http://www.epicurious.com/recipes/food/views/-california-roll-salad-12246,"*available at Asian markets, natural foods stores, and some supermarkets",8 serving(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,2 (14-ounce) cans sweetened condensed milk,12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,1 teaspoon grated fresh lemon zest,12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,"1/3 cup plus 2 tablespoons fresh lemon juice (from 2 juicy lemons), divided",12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,"36 drops yellow food coloring, divided (see Cooks' Notes)",12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,1 teaspoon grated fresh orange zest,12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,1/4 cup fresh orange juice (from two small oranges),12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,9 drops red food coloring (see Cooks' Notes),12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,1 cup chilled heavy cream,12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-frozen-citrus-cream-pops-368770,"Special equpment: 12 (3-ounce) frozen pop molds; 12 wooden frozen pop sticks, if using molds that require them",12 item(s)
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,"1 cup (2 sticks) cold unsalted butter, plus more for the pan",
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,One 15-ounce can pure pumpkin,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1/2 cup pure maple syrup,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,2 teaspoons pumpkin-pie spice,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,2 cups all-purpose flour,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1 teaspoon baking powder,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1/2 teaspoon salt,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1 1/2 cups packed light-brown sugar,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,2 large eggs,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,2 teaspoons pure vanilla extract,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,"One (8-ounce) package cream cheese, softened",
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1/4 cup confectioners' sugar,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1/4 cup pure maple syrup,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,2 tablespoons fresh lemon juice,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,1/8 teaspoon salt,
http://www.epicurious.com/recipes/food/views/-candy-corn-pumpkin-blondies-51254510,Orange and yellow food coloring (preferably gel paste) for decorating,
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,3/4 cup whole-milk ricotta,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,"1/4 cup cream cheese, softened",6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,6 tablespoons confectioners sugar,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,1 teaspoon grated orange zest,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,1/8 teaspoon pure vanilla extract,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,1/8 teaspoon cinnamon,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,1/8 teaspoon orange-flower water (optional),6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,1/4 cup coarsely grated bittersweet chocolate,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,12 (1/4-inch-thick) slices thawed frozen pound cake,6 item(s)
http://www.epicurious.com/recipes/food/views/-cannoli-ice-cream-sandwiches-242004,"1 tablespoon unsalted butter, divided",6 item(s)
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1 cinnamon stick,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,2 bay leaves,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1 whole star anise*,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,5 whole black peppercorns,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1 tablespoon butter,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,2 tablespoons canola oil,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,4 to 4 1/2 pounds beef short ribs (about 8),
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,"1 large onion, sliced (about 3 cups)",
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1 tablespoon Worcestershire sauce,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,2 tablespoons all purpose flour,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,2 12-ounce bottles Dogfish Head Indian Brown Ale or other brown ale,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,2 cups beef broth,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1 12-ounce bottle Guinness stout,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,16 pitted prunes,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1/3 cup (packed) golden brown sugar,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,2 tablespoons Dijon mustard,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,1 5 x 3 x 1/2-inch slice crusty country-style bread,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,Chopped fresh Italian parsley,
http://www.epicurious.com/recipes/food/views/-carbonnade-a-la-flamande-short-ribs-358557,Cheesecloth,
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,"8 ounces green beans, halved crosswise",4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,Kosher salt,4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,"1 cup pearled, hulled, or hull-less barley",4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,1 teaspoon olive oil,4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,1/4 cup raw sunflower seeds,4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,"1 15.5-ounce can chickpeas, rinsed",4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,"4 ounces feta, crumbled",4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,2 tablespoons chopped fresh dill,4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,2 tablespoons fresh lemon juice,4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-barley-and-feta-salad-51239040,Toasted Spice Vinaigrette,4 item(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,"6 tablespoons olive oil, divided",4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,"1 medium leek, white and pale-green parts only, chopped",4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,"1/2 teaspoon kosher salt, plus more",4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,Freshly ground black pepper,4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,1 cup grated peeled squash (such as butternut or kabocha),4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,1 large egg,4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,3/4 cup chickpea flour,4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,1/4 teaspoon baking powder,4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,1/2 cup plain yogurt,4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,1/4 cup coarsely chopped fresh parsley,4 serving(s)
http://www.epicurious.com/recipes/food/views/-chickpea-pancakes-with-leeks-squash-and-yogurt-51260630,Flaky sea salt (such as Maldon),4 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,7 bacon slices,6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,2 cups canned low-salt chicken broth,6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,2 cups chopped seeded tomatoes,6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"12 baby turnips, trimmed",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"12 medium radishes, trimmed",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"20 baby carrots, trimmed",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"1/4 pound sugar snap peas, stringed",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"1/4 pound thin green beans, trimmed",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"4 romaine lettuce leaves, thinly sliced",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cocotte-of-vegetables-4660,"1/2 cup frozen petite peas, thawed",6 serving(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1 1/2 teaspoons fresh lime juice,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,"Pinch of saffron threads, crumbled",4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/2 cup mayonnaise,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,2 tablespoons extra-virgin olive oil,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/4 teaspoon hot pepper sauce,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,2 tablespoons olive oil,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/4 cup chopped shallots (about 2 small),4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,"4 garlic cloves, chopped",4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1 teaspoon dried crushed red pepper,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,Pinch of saffron threads,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/2 cup dry white wine,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,"2 pounds mussels, scrubbed, debearded",4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,4 fresh thyme sprigs,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,"1/2 cup smoked Spanish chorizo,* diced",4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/4 cup finely diced seeded tomato,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/4 cup finely diced roasted red pepper from jar,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1 tablespoon chopped fresh parsley,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,2 tablespoons olive oil,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/4 cup chopped shallots (about 2 small),4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,Canola oil (for deep-frying),4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,3 large eggs,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/2 cup whole milk,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1/4 teaspoon cayenne pepper,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,12 1-inch torn pieces crustless sourdough bread (about 5 ounces),4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1 8-ounce bottle clam juice,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,1 cup dry white wine,4 item(s)
http://www.epicurious.com/recipes/food/views/-cod-with-mussels-chorizo-fried-croutons-and-saffron-mayonnaise-355204,"1 12-ounce cod fillet, cut into 4 equal pieces",4 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,"3 tablespoons dry yeast, divided",12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1 1/4 cup warm water,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,"8 cups all-purpose flour, divided",12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1/2 cup warm milk,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1 tablespoon salt,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1/2 cup sugar,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,8 ounces egg yolks (12 yolks from large eggs),12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1/2 cup melted butter,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,Oil for frying,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,Cinnamon-sugar mixture,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,10 egg yolks,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,"1 vanilla bean, split and seeds scraped out",12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,"1 1/4 cup sugar, divided",12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1 1/2 tablespoons espresso extract,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,1 cup cream,12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,4 ounces egg whites (about 4 whites from large eggs),12 item(s)
http://www.epicurious.com/recipes/food/views/-coffee-and-doughnuts-15368,Steamed milk or whipped cream,12 item(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,"1/2 fennel bulb, sometimes called anise (6 ounces)",4 serving(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,1 teaspoon olive oil,4 serving(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,"2 garlic cloves, minced",4 serving(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,1 cup water,4 serving(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,1 teaspoon salt,4 serving(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,"2 plum tomatoes, seeded and cut into 1/4-inch dice",4 serving(s)
http://www.epicurious.com/recipes/food/views/-confetti-couscous-103396,1 1/2 tablespoons fresh lemon juice,4 serving(s)
